MRTime	IMSI	SRNCID	BestCellID	SRNTI	RAB	Delay	UE_TXPower	LCS_BIT	Longitude	Latitude	RNCID_1	CellID_1	EcNo_1	RSCP_1	RTT_1	UE_Rx_Tx_1	RNCID_2	CellID_2	EcNo_2	RSCP_2	RTT_2	UE_Rx_Tx_2	RNCID_3	CellID_3	EcNo_3	RSCP_3	RTT_3	UE_Rx_Tx_3	RNCID_4	CellID_4	EcNo_4	RSCP_4	RTT_4	UE_Rx_Tx_4	RNCID_5	CellID_5	EcNo_5	RSCP_5	RTT_5	UE_Rx_Tx_5	RNCID_6	CellID_6	EcNo_6	RSCP_6	RTT_6	UE_Rx_Tx_6
2016-05-03 19:16:34.000	1234567890	99129	1	-999	-999	-999	-999	300	121.502020	31.217023	99129	1	-10.880000	-87.500000	37900	153	99129	3	-19.630000	-96.630000	37900	154	99078	3	-16.130000	-93.130000	37900	242	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-03 19:16:35.000	1234567890	99129	1	-999	-999	-999	-999	300	121.502037	31.216960	99129	1	-10.750000	-86.750000	37900	153	99129	3	-20.000000	-98.750000	37900	154	99078	3	-16.750000	-94.000000	37900	242	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-03 19:16:36.000	1234567890	99129	1	-999	-999	-999	-999	300	121.502037	31.216960	99129	1	-10.500000	-75.130000	37900	153	99129	3	-20.000000	-88.500000	37900	154	99078	3	-20.000000	-90.630000	37900	242	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-03 19:16:37.000	1234567890	99129	1	-999	-999	-999	-999	300	121.502048	31.216840	99129	1	-10.500000	-75.630000	37900	153	99129	3	-20.000000	-90.130000	37900	154	99078	3	-20.000000	-91.250000	37900	242	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-03 19:16:38.000	1234567890	99129	1	-999	-999	-999	-999	300	121.502050	31.216787	99129	1	-10.500000	-74.500000	37900	153	99129	3	-19.750000	-83.380000	37900	154	99130	1	-20.000000	-83.880000	37900	291	99078	3	-20.000000	-87.130000	37900	242	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-03 19:16:39.000	1234567890	99129	1	-999	-999	-999	-999	300	121.502057	31.216738	99129	1	-10.250000	-74.000000	37900	153	99129	3	-20.000000	-86.750000	37900	154	99130	1	-20.000000	-86.380000	37900	291	99078	3	-20.000000	-88.880000	37900	242	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-03 19:16:40.000	1234567890	99129	1	-999	-999	-999	-999	300	121.502062	31.216700	99129	1	-10.750000	-76.880000	37900	153	99129	3	-20.000000	-87.630000	37900	154	99078	3	-14.500000	-80.630000	37900	242	99078	2	-20.000000	-94.000000	37900	241	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-03 19:16:41.000	1234567890	99129	1	-999	-999	-999	-999	300	121.502062	31.216700	99129	1	-11.250000	-80.130000	37900	153	99129	3	-20.000000	-90.630000	37900	154	99078	3	-13.880000	-82.380000	37900	242	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-03 19:16:42.000	1234567890	99129	1	-999	-999	-999	-999	300	121.502077	31.216647	99129	1	-10.880000	-78.130000	37900	153	99129	3	-20.000000	-88.630000	37900	154	99078	3	-14.500000	-81.750000	37900	242	99130	1	-20.000000	-90.380000	37900	291	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
2016-05-03 19:16:43.000	1234567890	99129	1	-999	-999	-999	-999	300	121.502082	31.216625	99129	1	-10.630000	-78.250000	37900	153	99129	3	-20.000000	-89.630000	37900	154	99078	3	-16.250000	-84.880000	37900	242	99130	1	-20.000000	-90.380000	37900	291	-999	-999	-999.000000	-999.000000	-999	-999	-999	-999	-999.000000	-999.000000	-999	-999
